,Actor,Movies
1419,Desmond Harrington,"['The Messenger: The Story of Joan of Arc', 'The Hole', 'Ghost Ship']"
1420,Jeanette MacDonald,"['San Francisco', ""Smilin' Through""]"
1421,Illeana Douglas,"['Alive', 'Ghost World', 'Cape Fear']"
1422,Lou Diamond Phillips,"['La Bamba', 'Override']"
1423,Doris Roberts,"[""National Lampoon's Christmas Vacation"", 'The Heartbreak Kid', 'Rabbit Test', 'The Taking of Pelham One Two Three']"
1424,Jean-Paul Belmondo,"[""L'Homme de Rio"", 'Les Miserables']"
1425,Slim Pickens,"['1941', 'Hawmps!', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb']"
1426,John McIntire,"['Cloak & Dagger', 'Psycho']"
1427,Cynthia Nixon,"[""Baby's Day Out"", 'Manhattan Project', 'Amadeus']"
1428,Jeremy Bulloch,"['Star Wars Episode VI: Return of the Jedi', 'Star Wars Episode V: The Empire Strikes Back']"
1429,Beverly D'Angelo,"[""National Lampoon's Christmas Vacation"", ""Coal Miner's Daughter"", 'Vacation', 'Hair']"
1430,Shannyn Sossamon,"['The Order', 'The Rules of Attraction', ""A Knight's Tale""]"
1431,Ed Wynn,"['That Darn Cat!', 'Mary Poppins', 'The Diary of Anne Frank', 'Alice in Wonderland']"
1432,Stanisoaw Tym,"['The Cruise', 'Teddy Bear']"
1433,Michelle Williams,"[""But I'm a Cheerleader"", 'Dick', 'Species']"
1434,John Beck,"['Rollerball', 'Sleeper']"
1435,Liv Ullmann,"['Lost Horizon', ""The Serpent's Egg"", 'Persona', 'Face to Face', 'Scenes from a Marriage']"
1436,Phil Collins,"['Balto', 'Buster']"
1437,William Baldwin,"['Backdraft', 'Curdled']"
1438,Henry Rollins,"['Heat', 'Johnny Mnemonic']"
1439,John Goodman,"['Beyond the Sea', 'Fallen', 'Arachnophobia', 'The Flintstones', 'Rapunzel', 'Dirty Work', 'O Brother, Where Art Thou?', 'Sweet Dreams', 'C.H.U.D.', ""The Emperor's New Groove"", 'Always', 'True Stories']"
1440,John Gregson,"['Genevieve', 'The Battle of the River Plate']"
1441,Franka Potente,"['Blueprint', 'Blow', 'The Bourne Supremacy', 'The Bourne Identity', 'Anatomy', 'Creep']"
1442,Tracey Walter,"['Something Wild', 'Matilda', 'Batman', 'Erin Brockovich']"
1443,Pat Hingle,"['Batman & Robin', 'Batman', 'The Grifters', 'Shaft']"
1444,Bruce Greenwood,"['Exotica', 'Thirteen Days', ""Fathers' Day"", 'I, Robot', 'Swept Away', 'Rules of Engagement', 'Double Jeopardy']"
1445,Anna Chancellor,"['Crush', ""The Hitchhiker's Guide to the Galaxy""]"
1446,Van Johnson,"['The Caine Mutiny', 'Madame Curie', 'Yours, Mine and Ours', 'Battleground']"
1447,Kevin Tighe,"['K-9', ""What's Eating Gilbert Grape"", 'Road House']"
1448,David Patrick Kelly,"['Commando', 'Dreamscape', 'Wild at Heart', 'The Crow']"
1449,Bernard Fox,"['The Mummy', 'Titanic']"
1450,Josef Sommer,"[""Nobody's Fool"", 'Witness', 'Shaft']"
1451,Parker Posey,"['Josie and the Pussycats', 'Blade: Trinity', 'Dazed and Confused', 'Party Girl', ""You've Got Mail""]"
1452,Bonnie Hunt,"['The Green Mile', ""Beethoven's 2nd"", 'Cars', 'Beethoven', ""A Bug's Life"", 'Cheaper by the Dozen']"
1453,Alexandra Stewart,"['Day for Night', 'Frantic']"
1454,Matthew David Lewis,"['Harry Potter and the Chamber of Secrets', 'Harry Potter and the Prisoner of Azkaban', ""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Goblet of Fire', 'Harry Potter and the Order of the Phoenix', 'Harry Potter and the Half-Blood Prince']"
1455,Billy Barty,"['Legend', 'Willow', 'UHF']"
1456,Jonathan Crombie,"['Anne of Green Gables: The Continuing Story', 'Anne of Green Gables']"
1457,Salma Hayek,"['Desperado', '54', 'Dogma', 'In the Time of the Butterflies']"
1458,Topher Grace,"['Traffic', 'P.S.', 'Win a Date with Tad Hamilton!']"
1459,David Thewlis,"['Harry Potter and the Prisoner of Azkaban', 'Whatever Happened to Harold Smith?', 'Kingdom of Heaven', 'James and the Giant Peach', 'Total Eclipse', 'Timeline', 'Restoration', 'Life Is Sweet', 'Harry Potter and the Half-Blood Prince']"
1460,Sarah Miles,"[""Ryan's Daughter"", 'Lady Caroline Lamb']"
1461,Jennifer Blood,"['Pokamon: Jirachi Wishmaker', 'Pokamon: Lucario and the Mystery of Mew']"
1462,Richard Dutcher,"[""God's Army"", 'Brigham City']"
1463,Sam Levene,"['...And Justice for All', 'Crossfire']"
1464,Vince Vaughn,"['A Cool, Dry Place', 'Made', 'Swingers', 'Anchorman: The Legend of Ron Burgundy', 'Old School', 'Rudy', 'Dodgeball: A True Underdog Story', 'Starsky & Hutch', 'The Lost World: Jurassic Park']"
1465,Dorothy Gulliver,['Faces']
1466,Barbora Kodetova,"['Dune', 'Children of Dune']"
1467,Sylvia Sidney,"['Sabotage', 'Fury', 'Summer Wishes, Winter Dreams', 'The Lodger: A Story of the London Fog']"
1468,Martin Gabel,"['M', 'Marnie']"
1469,Horst Buchholz,"['One, Two, Three', 'Fanny']"
1470,Beatrice Straight,"['Endless Love', 'Network']"
1471,Chris Sanders,"['Stitch! The Movie', 'Lilo & Stitch']"
1472,John P. Ryan,"['Bound', 'Runaway Train']"
1473,Howard Vernon,"['Delicatessen', 'Alphaville']"
1474,Vincent D'Onofrio,"['JFK', 'Ed Wood', 'Men in Black', 'Strange Days']"
1475,Walter Pidgeon,"['Madame Curie', 'Quo Vadis']"
1476,Heather Graham,"['Twins', 'Anger Management', 'Austin Powers:The Spy Who Shagged Me', 'The Guru', 'Swingers', 'Committed', 'Six Degrees of Separation', 'Lost in Space', 'Nowhere', 'Mrs. Parker and the Vicious Circle']"
1477,Moira Shearer,"['The Tales of Hoffmann', 'The Red Shoes', 'Peeping Tom']"
1478,Annette Bening,"['American Beauty', 'The American President', 'The Grifters', 'Richard III']"
1479,Alfre Woodard,"['Cross Creek', 'Primal Fear', ""The Gun in Betty Lou's Handbag"", 'Star Trek: First Contact', 'Dinosaur', 'The Singing Detective']"
1480,Richard Harris,"[""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Chamber of Secrets', 'The Count of Monte Cristo']"
1481,Abbie Cornish,"['Elizabeth: The Golden Age', 'Somersault']"
1482,Jeffrey DeMunn,"['The Green Mile', ""By Dawn's Early Light""]"
1483,Jim Cummings,"[""Piglet's Big Movie"", 'Rapunzel', 'Balto', 'Aladdin', ""Mickey's Twice Upon a Christmas"", ""Pooh's Heffalump Movie"", 'Hercules']"
1484,Tom Berenger,"['Platoon', 'Gettysburg', 'Sniper', 'The Big Chill', 'Major League']"
1485,Ajith Kumar,"['Godfather', 'Asoka']"
1486,Edie Adams,"['The Best Man', ""Cheech & Chong's Up in Smoke"", ""It's a Mad, Mad, Mad, Mad World""]"
1487,Judd Hirsch,"['Independence Day', 'Running on Empty']"
1488,Queenie Leonard,['Alice in Wonderland']
1489,Constance Bennett,"['Topper', 'Madame X']"
1490,Linda Fiorentino,"['Vision Quest', 'Men in Black', 'After Hours', 'Dogma']"
1491,Aaron Stanford,"['X2', 'Tadpole', '25th Hour', 'Rick']"
1492,Andrew McCarthy,"[""St. Elmo's Fire"", 'Mannequin', 'Mrs. Parker and the Vicious Circle', ""Weekend at Bernie's II"", ""Weekend at Bernie's"", 'Class']"
1493,Theodore Bikel,"['The Return of the King', 'I Want to Live!']"
1494,Annabella Sciorra,"['What Dreams May Come', 'The Funeral', 'The Hand That Rocks the Cradle']"
1495,Julie Walters,"['Harry Potter and the Chamber of Secrets', 'Harry Potter and the Prisoner of Azkaban', ""Harry Potter and the Philosopher's Stone"", 'Buster', 'Harry Potter and the Half-Blood Prince']"
1496,James Earl Jones,"['Star Wars Episode IV: A New Hope', 'Exorcist II: The Heretic', 'Bushido Blade', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb', 'Star Wars Episode V: The Empire Strikes Back', ""The Lion King II: Simba's Pride"", 'Sneakers', 'Star Wars Episode VI: Return of the Jedi', ""By Dawn's Early Light"", 'Jesus of Nazareth', 'Claudine', 'Robots']"
1497,Eric Stoltz,"['Pulp Fiction', 'Rob Roy', 'The Rules of Attraction', 'Mask', 'Pitch', 'Little Women', 'Anaconda']"
1498,Jason Flemyng,"['Rock Star', 'The Jungle Book', 'Rob Roy']"
1499,Ernest Borgnine,"['The Poseidon Adventure', 'Vera Cruz', 'Ice Station Zebra', ""Merlin's Shop of Mystical Wonders""]"
1500,Ice T,"['Johnny Mnemonic', 'Exiled: A Law & Order Movie']"
1501,Samuel E. Wright,"['The Little Mermaid II: Return to the Sea', 'The Little Mermaid']"
1502,Denzel Washington,"['Man on Fire', 'Fallen', ""The Preacher's Wife"", 'The Hurricane', 'The Manchurian Candidate', 'Crimson Tide', 'Antwone Fisher', 'Glory', ""A Soldier's Story"", 'Malcolm X', ""Mo' Better Blues"", 'Philadelphia']"
1503,Kevin Dunn,"['Hot Shots!', 'Chain Reaction', 'Dave', 'Nixon', 'Chaplin', 'Godzilla']"
1504,Jennifer Love Hewitt,"['Garfield', 'Sister Act 2: Back in the Habit', ""Can't Hardly Wait"", 'Delgo']"
1505,Olivia de Havilland,"['Dodge City', 'My Cousin Rachel', 'The Adventures of Robin Hood', 'To Each His Own', 'Captain Blood']"
1506,Henry Jones,"['Will Success Spoil Rock Hunter?', 'Vertigo']"
1507,Gena Rowlands,"['Faces', 'Gloria']"
1508,Emily Perkins,"['It', 'Ginger Snaps 2: Unleashed', 'Ginger Snaps']"
1509,Barbara Stanwyck,"['Double Indemnity', 'Titanic', ""Dead Men Don't Wear Plaid"", 'Roustabout', 'Sorry, Wrong Number']"
1510,Tom Hollander,"['Elizabeth: The Golden Age', ""Pirates of the Caribbean: Dead Man's Chest"", 'Enigma', 'Martha, Meet Frank, Daniel and Laurence', 'Possession']"
1511,Wayne Knight,"['JFK', 'Rat Race', 'Hercules', 'Jurassic Park']"
1512,Bree Turner,"['Austin Powers:The Spy Who Shagged Me', ""My Best Friend's Wedding""]"
1513,Richard Warwick,"['If...', 'Hamlet', 'Romeo and Juliet']"
1514,Leon Robinson,"['Cliffhanger', 'The Temptations']"
1515,Will Smith,"['Ali', 'Bad Boys', 'Six Degrees of Separation', 'Men in Black', 'Enemy of the State', 'Independence Day', 'I, Robot', 'Jersey Girl', 'Hitch']"
1516,David Krumholtz,"[""How to Kill Your Neighbor's Dog"", 'Serenity']"
1517,Charles Durning,"['Sisters', 'O Brother, Where Art Thou?', 'Starting Over']"
1518,Harold Innocent,"['Robin Hood: Prince of Thieves', 'Buster']"
1519,Marie-France Pisier,"['Celine et Julie vont En Bateau', 'Cousin, cousine']"
1520,Kevin Costner,"['JFK', 'Revenge', 'No Way Out', 'Thirteen Days', 'Dragonfly', 'For Love of the Game', 'Robin Hood: Prince of Thieves']"
1521,Takeshi Kitano,"['Getting Any?', 'Johnny Mnemonic', 'Battle Royale', 'Brother']"
1522,Tom Waits,"[""Bram Stoker's Dracula"", 'The Fisher King', 'The Cotton Club', 'Domino']"
1523,Vladek Sheybal,"['Kanao\x82', 'Shogun']"
1524,William Forsythe,"['Cloak & Dagger', 'The Rock', 'Freedomland', 'Dick Tracy']"
1525,Jim MacDonald,"['Alice in Wonderland', 'Cinderella']"
1526,Ron Perlman,"['Star Trek Nemesis', 'Looney Tunes: Back in Action', 'Alien: Resurrection', 'Fluke']"
1527,Jane Fonda,"['The Morning After', ""They Shoot Horses, Don't They?"", 'Julia']"
1528,Tom Wilkinson,"['Normal', 'Wilde', 'Rush Hour', 'Sense and Sensibility', 'The Patriot']"
1529,Elizabeth Perkins,"['The Flintstones', 'Cats & Dogs', 'About Last Night', 'Speak', 'Avalon']"
1530,Matthew Lillard,"['Scooby-Doo 2: Monsters Unleashed', 'SLC Punk!', 'Wicker Park', 'Scream', 'Scooby-Doo', ""It's a Very Merry Muppet Christmas Movie"", 'Hackers', 'Wing Commander', ""Love's Labour's Lost"", ""She's All That""]"
1531,Oded Fehr,"['Resident Evil: Apocalypse', 'The Mummy']"
1532,D. B. Sweeney,"['Dinosaur', 'Spawn', 'Blue Desert']"
1533,John Fiedler,"[""The Emperor's New Groove"", ""Piglet's Big Movie"", ""Pooh's Heffalump Movie""]"
1534,Jon Favreau,"['Wimbledon', 'Made', 'Swingers', 'The Replacements', 'Rudy', ""Something's Gotta Give"", 'Deep Impact', 'PCU']"
1535,Eve Arden,"['Grease', 'Pandemonium']"
1536,Andre the Giant,"['Micki + Maude', 'The Princess Bride']"
1537,Wes Studi,"['Heat', 'Street Fighter', 'The Last of the Mohicans']"
1538,Danny Glover,"['Saw', 'Witness', 'Bat*21', 'Beloved', 'The Rainmaker']"
1539,Yul Brynner,"['The Brothers Karamazov', 'The Ten Commandments', 'Anastasia']"
1540,Matthew Modine,"['Birdy', 'Vision Quest', 'Fluke', 'Gross Anatomy']"
1541,Edward James Olmos,"['My Family', 'Selena', 'In the Time of the Butterflies']"
1542,Paul Sorvino,"['The Gambler', 'Hey Arnold!: The Movie', 'Cheaters', 'Romeo + Juliet', 'Mambo Italiano', 'Longshot', 'Nixon']"
1543,Rosanna Arquette,"[""Buffalo '66"", 'After Hours']"
1544,Jennifer Grey,"[""Ferris Bueller's Day Off"", 'The Cotton Club']"
1545,Spencer Tracy,"['The Power and the Glory', ""It's a Mad, Mad, Mad, Mad World"", 'Northwest Passage', 'San Francisco', 'How the West Was Won', 'Edward, My Son', 'Fury', 'Boys Town', 'Father of the Bride', ""Guess Who's Coming to Dinner"", 'Tortilla Flat', ""Adam's Rib"", 'Test Pilot']"
1546,Matthew Macfadyen,"[""In My Father's Den"", 'Enigma']"
1547,Peter Boyle,"['F.I.S.T', 'Scooby-Doo 2: Monsters Unleashed', 'Hardcore', 'Walker', 'Outland', ""Monster's Ball""]"
1548,Verna Felton,"['Alice in Wonderland', 'Cinderella', 'The Jungle Book']"
1549,Alicia Witt,"['Cecil B. Demented', 'American Girl', 'Bongwater', 'Urban Legend', 'Dune', ""Mr. Holland's Opus""]"
1550,Norman Lloyd,"['Limelight', 'Saboteur']"
1551,Claude Jade,"['Bed & Board', 'Topaz', 'The Witness']"
1552,Allen Covert,"['Anger Management', 'Big Daddy']"
1553,Charles Sellon,['Bright Eyes']
1554,Nia Long,"['Are We There Yet', 'Soul Food', 'Boiler Room', ""Big Momma's House"", 'BAADASSSSS!', 'Stigmata', 'The Broken Hearts Club: A Romantic Comedy', 'Friday', 'Alfie']"
1555,Sian Phillips,"['Dune', 'Ewoks: The Battle for Endor', ""Murphy's War"", 'Goodbye, Mr. Chips']"
1556,Kirsten Dunst,"['Wimbledon', 'Anastasia', 'Levity', 'The Crow: Salvation', 'Spider-Man', ""Kiki's Delivery Service"", 'Bring It On', 'Dick', 'Get Over It', 'Little Women']"
1557,Buster Keaton,"[""It's a Mad, Mad, Mad, Mad World"", 'The General', 'Film', 'Cops', 'Steamboat Bill Jr.', 'Limelight', 'Sherlock, Jr.']"
1558,Petula Clark,"[""I Know Where I'm Going!"", 'Goodbye, Mr. Chips']"
1559,Joseph Schildkraut,"[""Idiot's Delight"", 'The Diary of Anne Frank', 'King of Kings']"
1560,Chris Cooper,"['Seabiscuit', 'The Bourne Identity', 'Adaptation', 'The Patriot', 'Silver City', 'Lone Star', 'American Beauty', 'Me, Myself & Irene']"
1561,Dick Shawn,"['The Producers', ""It's a Mad, Mad, Mad, Mad World""]"
1562,Jean Rogers,"[""Flash Gordon's Trip to Mars"", 'Flash Gordon']"
1563,Noah Taylor,"['Max', 'Lara Croft Tomb Raider: The Cradle of Life', 'Shine', 'Lara Croft: Tomb Raider', 'Charlie and the Chocolate Factory', 'Flirting']"
1564,Skeet Ulrich,"['The Craft', ""Weekend at Bernie's"", 'Scream']"
1565,Laura Fraser,"['Whatever Happened to Harold Smith?', 'Titus', ""A Knight's Tale"", 'Small Faces', 'Cuckoo', ""Devil's Gate""]"
1566,Kevin McCarthy,"['Looney Tunes: Back in Action', 'UHF', 'The Misfits', 'The Best Man', 'Twilight Zone: The Movie']"
1567,Derek Richardson,['Dumb & Dumberer']
1568,Jennifer Ehle,"['Wilde', 'Possession']"
1569,Kajol,"['Khabi Khushi Kabhi Gham', 'Dilwale Dulhaniy Le Jayenge']"
1570,Andy Devine,"['Robin Hood', 'Stagecoach', 'How the West Was Won']"
1571,Bruce Willis,"['Blind Date', 'Pulp Fiction', 'The Kid', ""Look Who's Talking"", ""Hart's War"", 'Armageddon', ""Look Who's Talking Too"", ""Nobody's Fool"", 'Sin City', 'Hostage', 'Die Hard: With a Vengeance', 'Rugrats Go Wild!', 'North']"
1572,Bruce Dern,"['1969', ""They Shoot Horses, Don't They?"", 'The Haunting', ""The 'Burbs"", 'The Trip', 'Marnie', 'Monster']"
1573,Eric Mabius,"['Resident Evil', 'The Crow: Salvation']"
1574,Tom Courtenay,"['The Golden Compass', 'Whatever Happened to Harold Smith?', 'King Rat']"
1575,Rene Zellweger,"['Chicago', ""My Boyfriend's Back"", 'Cold Mountain', 'Bridget Jones: The Edge of Reason', 'Me, Myself & Irene']"
1576,Robert Englund,"['Urban Legend', ""Wes Craven's New Nightmare"", 'Wishmaster', 'Python']"
1577,Robert Preston,"['Wake Island', 'S.O.B.', 'How the West Was Won']"
1578,Romane Bohringer,"[""L'Appartement"", 'Total Eclipse']"
1579,Courteney Cox,"['Blue Desert', 'Scream', 'Cocoon: The Return', 'Mr. Destiny', 'Ace Ventura: Pet Detective']"
1580,Anthony Edwards,"['Top Gun', 'Thunderbirds', 'Revenge of the Nerds II: Nerds in Paradise', 'Miracle Mile']"
1581,Nicholas Bell,"['Mission: Impossible II', ""Mighty Morphin' Power Rangers: The Movie""]"
1582,Milla Jovovich,"['The Messenger: The Story of Joan of Arc', 'Resident Evil', 'Dazed and Confused', 'Resident Evil: Apocalypse', 'Chaplin']"
1583,Frank Miller,"['Sin City', 'Daredevil']"
1584,Tom Everett,"['The Island', 'Air Force One']"
1585,Bill Pullman,"['Casper', 'Liebestraum', 'Singles', 'Rick', 'Independence Day', 'Lake Placid', 'History Is Made at Night']"
1586,Anne Hathaway,"['The Princess Diaries', 'The Princess Diaries 2: Royal Engagement']"
1587,Bob Gunton,"['Demolition Man', 'Ace Ventura: When Nature Calls', 'Patch Adams', '61*']"
1588,Lisa Kudrow,"[""Romy and Michele's High School Reunion"", 'Dr. Dolittle 2']"
1589,Chris Rankin,"[""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Chamber of Secrets', 'Harry Potter and the Prisoner of Azkaban', 'Harry Potter and the Order of the Phoenix']"
1590,Christian Marquand,"['Candy', 'And God Created Woman']"
1591,Pink,"['Rollerball', ""Charlie's Angels: Full Throttle""]"
1592,Arnold Schwarzenegger,"['Eraser', 'Twins', 'Terminator 3: Rise of the Machines', 'Predator', 'Batman & Robin', 'Junior', 'Raw Deal', 'Dr. Dolittle 2', 'Collateral Damage', 'Commando', 'Terminator 2: Judgment Day']"
1593,Dana Andrews,"['My Foolish Heart', 'Laura', ""In Harm's Way""]"
1594,Sousuke Takaoka,"['Blue', 'Concrete']"
1595,Margaret Leighton,"['The Best Man', 'Carrington V.C.']"
1596,Anita Gillette,"['Shall We Dance?', 'The Guru']"
1597,Jean-Pierre Leaud,"['Bed & Board', 'Day for Night']"
1598,Robert Shaw,"['Battle of Britain', 'Battle of the Bulge', 'Jaws', 'The Taking of Pelham One Two Three', 'Diamonds']"
1599,Raymond O'Connor,"['Mr. Nanny', 'My Blue Heaven']"
1600,Kate Lynch,['Meatballs']
1601,Orlando Bloom,"['Ned Kelly', 'The Lord of the Rings: The Fellowship of the Ring', 'Pirates of the Caribbean: The Curse of the Black Pearl', ""Pirates of the Caribbean: Dead Man's Chest"", 'The Lord of the Rings: The Two Towers', 'Wilde', 'Kingdom of Heaven', 'Troy', 'The Lord of the Rings: The Return of the King']"
1602,Marlene Dietrich,"['Morocco', 'Shanghai Express', 'Stage Fright']"
1603,John Howard,"[""Bulldog Drummond's Secret Police"", 'The Club', 'Lost Horizon']"
1604,Jean-Claude Van Damme,"['Bloodsport', 'Street Fighter', 'The Order', 'No Retreat, No Surrender']"
1605,Tygh Runyan,"['K-19: The Widowmaker', 'Antitrust']"
1606,Steve Zahn,"['Crimson Tide', 'Sahara', 'Speak', 'Chicken Little', 'Dr. Dolittle 2', 'That Thing You Do!', ""You've Got Mail"", 'Hamlet']"
1607,Jose Ferrer,"['Ship of Fools', 'Joan of Arc', 'The Caine Mutiny', 'Moulin Rouge', 'Lawrence of Arabia', 'Dune']"
1608,Tommy 'Tiny' Lister,"['Austin Powers: Goldmember', ""Santa's Slay"", 'Circus', 'Little Nicky', 'Jackie Brown', 'Posse', 'Friday']"
1609,Bryan Brown,"['Breaker Morant', 'F/X', 'Cocktail']"
1610,Quentin Crisp,"['Orlando', 'To Wong Foo, Thanks for Everything! Julie Newmar']"
1611,Raquel Welch,"['Bedazzled', 'Roustabout', 'Chairman of the Board']"
1612,Jenny Wright,"[""St. Elmo's Fire"", 'The Lawnmower Man']"
1613,Sigourney Weaver,"['Aliens', 'Tadpole', 'Alien: Resurrection', 'Alien3', 'Dave']"
1614,Regina King,"['Legally Blonde 2: Red, White & Blonde', 'Enemy of the State', 'Ray', 'Down to Earth', 'Friday']"
1615,Loretta Devine,"['Urban Legend', ""The Preacher's Wife""]"
1616,Jackie Chan,"[""Snake in the Eagle's Shadow"", 'Police Story', 'Who Am I?', 'Armour of God II: Operation Condor', 'Around the World in 80 Days', 'Rush Hour', 'Snake & Crane Arts of Shaolin', 'An Alan Smithee Film: Burn Hollywood Burn', 'The Protector', 'Mr. Nice Guy']"
1617,Anthony Perkins,"[""Lovin' Molly"", 'Psycho', 'Friendly Persuasion']"
1618,Jacqueline Obradors,"[""Atlantis: Milo's Return"", 'Atlantis: The Lost Empire']"
1619,Neal McDonough,"['Star Trek: First Contact', 'Minority Report', 'Timeline']"
1620,Joe Alaskey,"['Looney Tunes: Back in Action', 'Rugrats in Paris: The Movie']"
1621,Louise Latham,"['Marnie', 'The Philadelphia Experiment']"
1622,Carol Kane,"['My Blue Heaven', 'The Princess Bride', 'Carnal Knowledge']"
1623,Dean Cain,"['Rat Race', 'The Broken Hearts Club: A Romantic Comedy']"
1624,Charles B. Middleton,"[""Flash Gordon's Trip to Mars"", 'Flash Gordon']"
1625,Kerry Washington,"['Fantastic Four', 'Ray']"
1626,David Strathairn,"['Sneakers', 'The Firm', 'Speakeasy']"
1627,Elizabeth Allan,"['A Tale of Two Cities', 'Personal History, Adventures, Experience, and Observation of David Copperfield the Younger']"
1628,Geoffrey Rush,"['Elizabeth: The Golden Age', 'Ned Kelly', 'Elizabeth', 'Shine', 'Pirates of the Caribbean: The Curse of the Black Pearl', 'House on Haunted Hill']"
1629,Joel Polis,"[""John Carpenter's The Thing""]"
1630,Danielle Harris,"['Urban Legend', ""Don't Tell Mom the Babysitter's Dead"", 'Daylight']"
1631,Patricia Tallman,"['Night of the Living Dead', 'Babylon 5: The Gathering']"
1632,Dee Wallace-Stone,"['10', 'E.T. the Extra-Terrestrial', 'The Hills Have Eyes']"
1633,Missi Pyle,"['Dodgeball: A True Underdog Story', 'Charlie and the Chocolate Factory']"
1634,Koichi Yamadera,"['Pokamon: Legend Comes to Life', 'Cowboy Bebop: The Movie']"
1635,Don Messick,"['Tom and Jerry: The Movie', 'Jetsons: The Movie']"
1636,Clare Kramer,"['The Rules of Attraction', 'Bring It On']"
1637,Robert Prosky,"['Thief', 'The Keep', 'Gremlins 2: The New Batch', 'Rudy', 'Broadcast News']"
1638,Myrna Loy,"['Vanity Fair', 'Test Pilot', 'The Thin Man']"
1639,Charlotte Rampling,"['Immortel', 'Swimming Pool', 'Vanishing Point']"
1640,Bruce Davison,"['The Crucible', ""Ulzana's Raid"", 'X2', 'X-Men']"
1641,Jennifer Lien,"[""The Lion King II: Simba's Pride"", 'SLC Punk!']"
1642,Cedric the Entertainer,"['Barbershop', 'Man of the House', 'Barbershop 2: Back in Business', 'Madagascar', 'Dr. Dolittle 2']"
1643,Angelina Jolie,"['Foxfire', 'Gone in Sixty Seconds', 'Lara Croft Tomb Raider: The Cradle of Life', 'Original Sin', 'Lara Croft: Tomb Raider', 'Alexander', 'Hackers', 'Taking Lives']"
1644,Ethan Hawke,"['Taking Lives', 'Assault on Precinct 13', 'White Fang', 'Alive', 'Hamlet', 'Tape']"
1645,William Schallert,"['Colossus: The Forbin Project', 'Them!']"
1646,Kenji Sahara,"['Godzilla: Final Wars', 'Ghidorah, the Three-Headed Monster']"
1647,John McEnery,"['Hamlet', 'Romeo and Juliet']"
1648,Alok Nath,"['Gandhi', 'Khabi Khushi Kabhi Gham']"
1649,Natasha Henstridge,"['Dog Park', 'Species']"
1650,Burt Reynolds,"['Hooper', 'Starting Over', 'Everything You Always Wanted to Know About Sex (But Were Afraid to Ask)', 'Striptease', 'The Dukes of Hazzard', 'Delgo']"
1651,Lupe Ontiveros,"['My Family', 'Selena', 'El Norte']"
1652,Roscoe Lee Browne,"['Topaz', 'Babe']"
1653,Diane Salinger,"['The Morning After', ""Pee-wee's Big Adventure""]"
1654,Alastair Sim,"['Scrooge', 'Stage Fright', ""The Belles of St Trinian's"", ""Blue Murder at St Trinian's""]"
1655,Julian Glover,"['Quatermass and the Pit', 'Harry Potter and the Chamber of Secrets', 'Tom Jones', 'Troy']"
1656,Garrett Hedlund,"['Eragon', 'Troy']"
1657,Ron Livingston,"['Swingers', 'Adaptation']"
1658,Darlene Cates,"[""What's Eating Gilbert Grape""]"
1659,Jill Bennett,"['Moulin Rouge', 'Lady Jane', 'The Nanny']"
1660,Richard Pryor,"['Silver Streak', 'Car Wash']"
1661,Ralph Brown,"['Impromptu', 'Alien3', 'Exorcist: The Beginning', 'Buster']"
1662,Simon Callow,"['Ace Ventura: When Nature Calls', 'The Phantom of the Opera', 'Mr. & Mrs. Bridge', 'Street Fighter', 'James and the Giant Peach']"
1663,Jeroen Krabbe,"['Immortal Beloved', 'King of the Hill']"
1664,Barry Newman,"['Vanishing Point', 'What the #$*! Do We Know!?', 'Daylight']"
1665,Alanna Ubach,"['Legally Blonde 2: Red, White & Blonde', 'Sister Act 2: Back in the Habit']"
1666,Kay Walsh,"['Oliver Twist', 'Scrooge']"
1667,Gary Sinise,"['Ransom', 'Apollo 13', 'Snake Eyes', 'The Big Bounce', 'Of Mice and Men']"
1668,Brad Renfro,"['Apt Pupil', 'American Girl', 'Ghost World', 'Bully']"
1669,Dorothy Malone,"['Warlock', 'The Fast and the Furious']"
1670,Cheryl Chase,"['Rugrats Go Wild!', 'Rugrats in Paris: The Movie']"
1671,Henry Bergman,"['The Kid', 'Modern Times', 'The Circus']"
1672,Heather McComb,"[""Beethoven's 2nd"", ""Don's Plum""]"
1673,Kevin Gage,"['Heat', ""The 'Burbs"", 'Blow']"
1674,Anne Revere,"['Body and Soul', ""Gentleman's Agreement""]"
1675,Michael Wincott,"['Alien: Resurrection', 'Robin Hood: Prince of Thieves', 'The Crow', 'The Count of Monte Cristo', 'Strange Days']"
1676,Pam Ferris,"['Harry Potter and the Prisoner of Azkaban', 'Matilda']"
1677,Edward Hardwicke,"['Holocaust', 'Elizabeth']"
1678,Sally Kellerman,"['Lost Horizon', 'Boris and Natasha', 'MASH']"
1679,Hunter Carson,"['Paris, Texas']"
1680,Lance Henriksen,"['Aliens', 'Alien3', 'Jagged Edge', 'Super Mario Bros.', 'AVP: Alien vs. Predator']"
1681,Jan-Michael Vincent,"[""Buffalo '66"", 'Hooper', 'Born in East L.A.']"
1682,Jeff Gordon,"['Looney Tunes: Back in Action', 'Herbie: Fully Loaded', 'Taxi']"
